summaryeffectID,metaname,intsp,intname,intmet,BACI,BA,CI,Total,summeff_conv,var_conv,loCI_conv,upCI_conv,summeff_wei,var_wei,loCI_wei,upCI_wei
B88,Bernes et al. 2018,Browsers,,richness,13,0,2,15,-0.241902509,0.045700433,-0.660904638,0.17709962,-0.042879686,0.060774315,-0.526067649,0.440308277
B89,Bernes et al. 2018,Intermediate,,richness,2,6,0,8,-0.207900305,0.065053712,-0.707810635,0.292010025,-0.114712633,0.090575309,-0.704588981,0.475163715
B90,Bernes et al. 2018,Grazers,,richness,15,6,2,23,0.370959703,0.283921629,-0.673412515,1.415331921,0.603269674,0.338357249,-0.536832605,1.743371953
B91,Bernes et al. 2018,Sustained/abandoned/resumed livestock grazing,,richness,10,0,1,11,-0.947602912,0.121909008,-1.631946133,-0.263259692,-0.866922693,0.147288797,-1.619135855,-0.114709531
B92,Bernes et al. 2018,Fencing (all),,richness,20,14,2,36,-0.167039784,0.04949429,-0.603087105,0.269007537,-0.237721972,0.054518591,-0.695366613,0.219922669
B93,Bernes et al. 2018,Poor-soil forest,,richness,5,0,0,5,0.359598447,0.064099761,-0.136632993,0.855829887,0.41230701,0.069916574,-0.105951141,0.930565161
B94,Bernes et al. 2018,Richer-soil conifers,,richness,4,14,1,19,-0.560053226,0.032821717,-0.915141818,-0.204964635,-0.671639448,0.041019116,-1.06860171,-0.274677186
B95,Bernes et al. 2018,Boreal broadleaf/mixed,,richness,6,0,0,6,0.572195176,0.053200933,0.120114758,1.024275593,0.453323312,0.090735317,-0.137073837,1.04372046
B96,Bernes et al. 2018,Temperate broadleaf/mixed,,richness,10,0,2,12,-1.057784454,0.395280369,-2.290062451,0.174493544,-1.497917899,0.451158308,-2.814416953,-0.181418846
B97,Bernes et al. 2018,Open woodland,,richness,4,0,1,5,-1.527701019,0.997211591,-3.484966471,0.429564432,-1.591209707,1.001244944,-3.552429372,0.370009959
B98,Bernes et al. 2018,Lepidopterans,,richness,5,0,0,5,-1.551742693,0.185707644,-2.396381364,-0.707104023,-1.640563814,0.290631654,-2.697204985,-0.583922643
B99,Bernes et al. 2018,Spiders,,richness,6,0,0,6,-0.561694427,0.029769209,-0.899868042,-0.223520812,-0.53701589,0.081234049,-1.095647005,0.021615225
B100,Bernes et al. 2018,Carabids,,richness,6,0,0,6,-0.795392221,0.032453074,-1.148481061,-0.442303382,-0.786566581,0.072801848,-1.315410204,-0.257722958
E1,Eales et al. 2018,Vasplant,,richness,27,5,31,63,0.3966828,0.03139702,0.04938639,0.7439792,0.1661677,0.05711056,-0.3022295,0.6345648
E2,Eales et al. 2018,nonnativevasplant,,richness,5,0,5,10,0.3861667,0.01405516,0.1537999,0.6185335,0.283075,0.03195925,-0.06731717,0.6334671
E3,Eales et al. 2018,herb,,richness,7,3,12,22,0.06419213,0.1200363,-0.6148746,0.7432588,0.283075,0.03195925,-0.06731717,0.6334671
E4,Eales et al. 2018,woody,,richness,10,2,11,23,-0.2530226,0.0625701,-0.7432973,0.2372521,-0.4016185,0.0949727,-1.005644,0.2024072
E5,Eales et al. 2018,tree,,richness,5,2,6,13,-1.034687,0.2928012,-2.095265,0.02589023,-0.5026292,0.4176483,-1.769293,0.7640347
E6,Eales et al. 2018,Vasplant,,diversity,8,3,2,13,-0.06458574,0.02017796,-0.343002,0.2138306,0.07790423,0.03456794,-0.2865079,0.4423164
E7,Eales et al. 2018,fungal,,richness,3,1,1,5,-1.162803,0.4116067,-2.420272,0.0946656,-0.5272716,0.6069207,-2.054212,0.9996687
E8,Eales et al. 2018,bird,,richness,4,0,2,6,-0.1692623,0.07184217,-0.6946088,0.3560841,-0.01445608,0.09699544,-0.6248803,0.5959681
E9,Eales et al. 2018,beetle,,richness,4,0,6,10,0.3979543,0.06364998,-0.09653306,0.8924417,0.9826304,0.09451889,0.3800495,1.585211
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,8.980392157,6.049019608,5.028478895,19.15025085,,,,,,,,
,,,,,5,3.5,1,14.5,,,,,,,,
